,MODIFIED_ZCTA,NEIGHBORHOOD_NAME,COVID_CASE_RATE_4WEEK,PCT_CHANGE_2WEEK,TESTING_RATE_4WEEK,PERCENT_POSITIVE_4WEEK,RISK
92,11205,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,0.1828117090021143,0.16666666666666666,0.30556593978956087,0.16842105263157894,0
93,11206,Williamsburg (South),0.17590304040975552,0.1511111111111111,0.22129058055047907,0.19368421052631576,0
94,11207,Cypress Hills/East New York,0.14975730323694947,0.12222222222222222,0.21979004669002183,0.16631578947368422,0
95,11208,Cypress Hills/East New York,0.21699770703671722,0.10888888888888888,0.08881338996619892,0.31789473684210523,0
96,11209,Bay Ridge/Fort Hamilton,0.19460409159941636,0.062222222222222213,0.2957595606991967,0.18315789473684213,0
97,11210,Flatlands/Midwood,0.4342634227688276,0.16666666666666666,0.1314875321248687,0.5536842105263158,2
98,11211,East Williamsburg/Williamsburg (North)/Williamsburg (South),0.2928441678330008,0.23777777777777778,0.4112416874327252,0.2273684210526316,0
99,11212,Ocean Hill-Brownsville,0.05452488014055567,0.09,0.13507840506261032,0.0863157894736842,0
100,11213,Crown Heights (East),0.2418331794764897,0.12555555555555556,0.263450377865651,0.24210526315789477,0
101,11214,Bath Beach/Bensonhurst/Gravesend,0.19805842589559575,0.1322222222222222,0.11266147002011406,0.27578947368421053,0
102,11215,Gowanus/Park Slope/Windsor Terrace,0.04821178642684853,0.1111111111111111,0.5051195960181207,0.02526315789473684,1
103,11216,Bedford-Stuyvesant (West)/Crown Heights (West),0.1283166076054912,0.1111111111111111,0.39767963688815305,0.09894736842105262,0
104,11217,Boerum Hill/Park Slope,0.040082189333253936,0.027777777777777776,0.4914135636117936,0.02105263157894737,1
105,11218,Kensington/Windsor Terrace,0.28778178136446203,0.2222222222222222,0.2413951321987678,0.29894736842105263,0
106,11219,Borough Park,0.40460379381197703,0.12555555555555556,0.04571771054962043,0.6336842105263157,2
107,11220,Sunset Park,0.1698579553914416,0.049999999999999996,0.1164327539653559,0.23789473684210527,0
108,11221,Bedford-Stuyvesant (East)/Bushwick,0.117387808582234,0.08222222222222222,0.2824152176684826,0.11578947368421053,0
109,11222,Greenpoint,0.13445102885560287,0.2088888888888889,0.5693970889643105,0.07789473684210527,1
110,11223,Gravesend/Homecrest,1.0000000000000002,0.6033333333333333,0.24981893847204023,0.9999999999999999,2
111,11224,Brighton Beach/Coney Island/Seagate,0.18028051576784493,0.06555555555555555,0.17478443920365888,0.2189473684210526,0
112,11225,Crown Heights (West)/Prospect Lefferts Gardens,0.14725588874661266,0.1433333333333333,0.3180628715013925,0.13473684210526315,0
113,11226,Flatbush/Prospect Lefferts Gardens,0.09630445787796671,0.1411111111111111,0.2376038989594274,0.10526315789473684,0
114,11228,Bath Beach/Dyker Heights,0.16151990709031894,0.1433333333333333,0.16164479327760822,0.20421052631578945,0
115,11229,Gerritsen Beach/Homecrest/Sheepshead Bay,0.45454274738691525,0.1988888888888889,0.1868528947726777,0.5157894736842105,2
116,11230,Midwood,0.8677823769393408,0.22555555555555556,0.29638319297993015,0.8042105263157895,2
117,11231,Carroll Gardens/Cobble Hill/Red Hook,0.08284446562044015,0.09888888888888889,0.506158694032472,0.05052631578947369,1
118,11232,Sunset Park,0.1777493225335755,0.23777777777777778,0.3308581752640896,0.15789473684210525,0
119,11233,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,0.08221911199785595,0.11777777777777777,0.1480974878634566,0.11578947368421053,0
120,11234,Bergen Beach/Flatlands/Marine Park/Mill Basin,0.23346535243143446,0.10222222222222221,0.16106799846997583,0.28631578947368425,0
121,11235,Brighton Beach/Manhattan Beach/Sheepshead Bay,0.26797891664929574,0.17888888888888888,0.20998193287843164,0.2947368421052632,0
122,11236,Canarsie,0.08746017092999017,0.09333333333333332,0.17817668656102786,0.1136842105263158,0
123,11237,Bushwick/East Williamsburg,0.0869837110270689,0.07888888888888888,0.21651315829417922,0.10105263157894737,0
124,11238,Clinton Hill/Prospect Heights,0.13897739793335517,0.11777777777777777,0.6173872843199415,0.07368421052631577,1
125,11239,East New York,0.1619070307614425,0.03222222222222222,0.24466681643093252,0.1705263157894737,0
126,11354,Flushing/Murray Hill,0.10693546946189811,0.07444444444444444,0.2931167129114433,0.10315789473684209,0
127,11355,Flushing/Murray Hill/Queensboro Hill,0.07254102021976713,0.05333333333333333,0.055776491578362064,0.1368421052631579,0
128,11356,College Point,0.20136386647211219,0.1111111111111111,0.13463605114999005,0.2652631578947368,0
129,11357,Whitestone,0.08010482117864268,0.05555555555555555,0.23294183566465404,0.0905263157894737,0
130,11358,Auburndale/Murray Hill,0.09684047526875317,0.1388888888888889,0.20827236511024588,0.1136842105263158,0
131,11360,Bayside (North),0.2143771775706501,0.07777777777777778,0.2556302545790135,0.2168421052631579,0
132,11361,Bayside (North)/Bayside (South),0.06313093713707157,0.06333333333333332,0.1966167731930059,0.07999999999999999,0
133,11362,Douglaston-Little Neck,0.08031327238617075,0.1111111111111111,0.23060603353389603,0.0905263157894737,0
135,11364,Bayside (South)/Oakland Gardens,0.05800899318066765,0.17777777777777776,0.16635629612732156,0.08210526315789474,0
136,11365,Auburndale/Fresh Meadows/Pomonok/Utopia,0.22992168190345735,0.2,0.17444703592520922,0.27578947368421053,0
137,11366,Fresh Meadows/Hillcrest,0.42151812036568304,0.23777777777777778,0.18469663628880678,0.4821052631578947,2
138,11367,Kew Gardens Hills/Pomonok,0.3568684672880498,0.16888888888888887,0.18366360979874635,0.41052631578947363,2
139,11368,Corona/North Corona,0.15949495250290344,0.10555555555555556,0.11602509447725479,0.22526315789473683,0
140,11369,Airport/East Elmhurst,0.15836336023346537,0.3011111111111111,0.20991080930816713,0.17894736842105263,0
141,11370,Jackson Heights/Rikers Island,0.09145052261695602,0.1433333333333333,0.2235517896685208,0.10526315789473684,0
142,11372,Jackson Heights,0.1506804442988595,0.05999999999999999,0.31689627147693294,0.1368421052631579,0
143,11373,Elmhurst,0.1063398945832465,0.16666666666666666,0.18124020424607706,0.1326315789473684,0
144,11374,Rego Park,0.4346803251838837,0.14444444444444443,0.24440660824703814,0.4442105263157895,2
145,11375,Forest Hills,0.29209969923468626,0.14222222222222222,0.2741891696149699,0.28421052631578947,0
146,11377,Woodside,0.11131294481998749,0.16999999999999998,0.2385467199457379,0.12000000000000002,0
147,11378,Maspeth,0.22146451862660432,0.1111111111111111,0.20348973869026815,0.25052631578947365,0
148,11379,Middle Village,0.1681307882433519,0.12,0.29923420731479894,0.15789473684210525,0
149,11385,Glendale/Ridgewood,0.1340639051844793,0.08444444444444443,0.13042848481641878,0.18526315789473685,0
